occupation,interest
RELIGIOUS FIGURE,1
MILITARY PERSONNEL,1
POLITICIAN,1
WRITER,1
SOCIAL ACTIVIST,1
ECONOMIST,1
HISTORIAN,1
SOCIOLOGIST,1
EXTREMIST,1
DIPLOMAT,1
PIRATE,1
LAWYER,1
JUDGE,1
POLITICAL SCIENTIST,1
CRITIC,1
INVENTOR,0
PHYSICIST,0
COMPOSER,0
PHILOSOPHER,0
ASTRONOMER,0
EXPLORER,0
PAINTER,0
MATHEMATICIAN,0
PSYCHOLOGIST,0
BIOLOGIST,0
NOBLEMAN,0
BOXER,0
ACTOR,0
CHEMIST,0
PHYSICIAN,0
SOCCER PLAYER,0
OCCULTIST,0
ASTRONAUT,0
COMPANION,0
DESIGNER,0
MUSICIAN,0
SINGER,0
ARCHITECT,0
INSPIRATION,0
FILM DIRECTOR,0
COMPUTER SCIENTIST,0
PRODUCER,0
GEOGRAPHER,0
MAFIOSO,0
PILOT,0
BUSINESSPERSON,0
FASHION DESIGNER,0
ARTIST,0
CELEBRITY,0
SCULPTOR,0
ENGINEER,0
DANCER,0
LINGUIST,0
COMEDIAN,0
ARCHAEOLOGIST,0
MARTIAL ARTS,0
COMIC ARTIST,0
ATHLETE,0
COACH,0
RACING DRIVER,0
MAGICIAN,0
GEOLOGIST,0
CONDUCTOR,0
MOUNTAINEER,0
PUBLIC WORKER,0
CHESS PLAYER,0
JOURNALIST,0
ANTHROPOLOGIST,0
PHOTOGRAPHER,0
SWIMMER,0
PORNOGRAPHIC ACTOR,0
CYCLIST,0
TENNIS PLAYER,0
AMERICAN FOOTBALL PLAYER,0
STATISTICIAN,0
BASKETBALL PLAYER,0
PRESENTER,0
MODEL,0
SKATER,0
BASEBALL PLAYER,0
GYMNAST,0
WRESTLER,0
REFEREE,0
BULLFIGHTER,0
GAME DESIGNER,0
YOUTUBER,0
SKIER,0
CHEF,0
GO PLAYER,0
HOCKEY PLAYER,0
FENCER,0
GOLFER,0
POKER PLAYER,0
TABLE TENNIS PLAYER,0
SNOOKER,0
CRICKETER,0
HANDBALL PLAYER,0
VOLLEYBALL PLAYER,0
RUGBY PLAYER,0
GAMER,0
BADMINTON PLAYER,0
